joint01-0000	singleton	8	0	0	lawler	0	distinct	allocated	-1	-1	none	false
joint01-0001	singleton	8	0	0	lawler	0	distinct	allocated	0	0	before	false
joint01-0002	singleton	8	0	0	lawler	0	distinct	allocated	0	0	gate	false
joint01-0003	singleton	8	0	0	lawler	0	distinct	allocated	0	0	after	false
joint01-0004	singleton	8	0	0	lawler	0	distinct	canonical	-1	-1	none	false
joint01-0005	singleton	8	0	0	lawler	0	distinct	canonical	0	0	before	false
joint01-0006	singleton	8	0	0	lawler	0	distinct	canonical	0	0	gate	false
joint01-0007	singleton	8	0	0	lawler	0	distinct	canonical	0	0	after	false
joint01-0008	singleton	8	0	0	lawler	0	colliding	allocated	-1	-1	none	false
joint01-0009	singleton	8	0	0	lawler	0	colliding	allocated	0	0	before	false
joint01-0010	singleton	8	0	0	lawler	0	colliding	allocated	0	0	gate	false
joint01-0011	singleton	8	0	0	lawler	0	colliding	allocated	0	0	after	false
joint01-0012	singleton	8	0	0	lawler	0	colliding	canonical	-1	-1	none	false
joint01-0013	singleton	8	0	0	lawler	0	colliding	canonical	0	0	before	false
joint01-0014	singleton	8	0	0	lawler	0	colliding	canonical	0	0	gate	false
joint01-0015	singleton	8	0	0	lawler	0	colliding	canonical	0	0	after	false
joint01-0016	singleton	8	0	0	lawler	8	distinct	allocated	-1	-1	none	false
joint01-0017	singleton	8	0	0	lawler	8	distinct	allocated	0	0	before	false
joint01-0018	singleton	8	0	0	lawler	8	distinct	allocated	0	0	gate	false
joint01-0019	singleton	8	0	0	lawler	8	distinct	allocated	0	0	after	false
joint01-0020	singleton	8	0	0	lawler	8	distinct	canonical	-1	-1	none	false
joint01-0021	singleton	8	0	0	lawler	8	distinct	canonical	0	0	before	false
joint01-0022	singleton	8	0	0	lawler	8	distinct	canonical	0	0	gate	false
joint01-0023	singleton	8	0	0	lawler	8	distinct	canonical	0	0	after	false
joint01-0024	singleton	8	0	0	lawler	8	colliding	allocated	-1	-1	none	false
joint01-0025	singleton	8	0	0	lawler	8	colliding	allocated	0	0	before	false
joint01-0026	singleton	8	0	0	lawler	8	colliding	allocated	0	0	gate	false
joint01-0027	singleton	8	0	0	lawler	8	colliding	allocated	0	0	after	false
joint01-0028	singleton	8	0	0	lawler	8	colliding	canonical	-1	-1	none	false
joint01-0029	singleton	8	0	0	lawler	8	colliding	canonical	0	0	before	false
joint01-0030	singleton	8	0	0	lawler	8	colliding	canonical	0	0	gate	false
joint01-0031	singleton	8	0	0	lawler	8	colliding	canonical	0	0	after	false
joint01-0032	singleton	8	0	0	cached	-1	distinct	allocated	-1	-1	none	false
joint01-0033	singleton	8	0	0	cached	-1	distinct	allocated	0	0	before	false
joint01-0034	singleton	8	0	0	cached	-1	distinct	allocated	0	0	gate	false
joint01-0035	singleton	8	0	0	cached	-1	distinct	allocated	0	0	after	false
joint01-0036	singleton	8	0	0	cached	-1	distinct	canonical	-1	-1	none	false
joint01-0037	singleton	8	0	0	cached	-1	distinct	canonical	0	0	before	false
joint01-0038	singleton	8	0	0	cached	-1	distinct	canonical	0	0	gate	false
joint01-0039	singleton	8	0	0	cached	-1	distinct	canonical	0	0	after	false
joint01-0040	singleton	8	0	0	cached	-1	colliding	allocated	-1	-1	none	false
joint01-0041	singleton	8	0	0	cached	-1	colliding	allocated	0	0	before	false
joint01-0042	singleton	8	0	0	cached	-1	colliding	allocated	0	0	gate	false
joint01-0043	singleton	8	0	0	cached	-1	colliding	allocated	0	0	after	false
joint01-0044	singleton	8	0	0	cached	-1	colliding	canonical	-1	-1	none	false
joint01-0045	singleton	8	0	0	cached	-1	colliding	canonical	0	0	before	false
joint01-0046	singleton	8	0	0	cached	-1	colliding	canonical	0	0	gate	false
joint01-0047	singleton	8	0	0	cached	-1	colliding	canonical	0	0	after	false
joint01-0048	singleton	8	0	0	fresh	-1	distinct	allocated	-1	-1	none	false
joint01-0049	singleton	8	0	0	fresh	-1	distinct	allocated	0	0	before	false
joint01-0050	singleton	8	0	0	fresh	-1	distinct	allocated	0	0	gate	false
joint01-0051	singleton	8	0	0	fresh	-1	distinct	allocated	0	0	after	false
joint01-0052	singleton	8	0	0	fresh	-1	distinct	canonical	-1	-1	none	false
joint01-0053	singleton	8	0	0	fresh	-1	distinct	canonical	0	0	before	false
joint01-0054	singleton	8	0	0	fresh	-1	distinct	canonical	0	0	gate	false
joint01-0055	singleton	8	0	0	fresh	-1	distinct	canonical	0	0	after	false
joint01-0056	singleton	8	0	0	fresh	-1	colliding	allocated	-1	-1	none	false
joint01-0057	singleton	8	0	0	fresh	-1	colliding	allocated	0	0	before	false
joint01-0058	singleton	8	0	0	fresh	-1	colliding	allocated	0	0	gate	false
joint01-0059	singleton	8	0	0	fresh	-1	colliding	allocated	0	0	after	false
joint01-0060	singleton	8	0	0	fresh	-1	colliding	canonical	-1	-1	none	false
joint01-0061	singleton	8	0	0	fresh	-1	colliding	canonical	0	0	before	false
joint01-0062	singleton	8	0	0	fresh	-1	colliding	canonical	0	0	gate	false
joint01-0063	singleton	8	0	0	fresh	-1	colliding	canonical	0	0	after	false
joint01-0064	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	-1	-1	none	false
joint01-0065	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	0	0	before	false
joint01-0066	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	0	0	gate	false
joint01-0067	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	0	0	after	false
joint01-0068	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	0	1	before	false
joint01-0069	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	0	1	gate	false
joint01-0070	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	0	1	after	false
joint01-0071	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	1	0	before	false
joint01-0072	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	1	0	gate	false
joint01-0073	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	1	0	after	false
joint01-0074	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	1	1	before	false
joint01-0075	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	1	1	gate	false
joint01-0076	chain8_16	8,16	0,1	0,1	lawler	0	distinct	allocated	1	1	after	false
joint01-0077	chain8_16	8,16	0,1	0,1	lawler	0	distinct	canonical	-1	-1	none	false
joint01-0078	chain8_16	8,16	0,1	0,1	lawler	0	distinct	canonical	0	0	before	false
joint01-0079	chain8_16	8,16	0,1	0,1	lawler	0	distinct	canonical	0	0	gate	false
joint01-0080	chain8_16	8,16	0,1	0,1	lawler	0	distinct	canonical	0	0	after	false
joint01-0081	chain8_16	8,16	0,1	0,1	lawler	0	distinct	canonical	0	1	before	false
joint01-0082	chain8_16	8,16	0,1	0,1	lawler	0	distinct	canonical	0	1	gate	false
joint01-0083	chain8_16	8,16	0,1	0,1	lawler	0	distinct	canonical	0	1	after	false
