b4_three_r0_warmup_1_d0	warmup	4	1	0	three	0
b4_three_r0_warmup_1_d100	warmup	4	1	100	three	0
b4_three_r0_warmup_1_d1000	warmup	4	1	1000	three	0
b4_three_r0_warmup_1_d10	warmup	4	1	10	three	0
b4_three_r0_warmup_2_d10	warmup	4	2	10	three	0
b4_three_r0_warmup_2_d0	warmup	4	2	0	three	0
b4_three_r0_warmup_2_d100	warmup	4	2	100	three	0
b4_three_r0_warmup_2_d1000	warmup	4	2	1000	three	0
b4_three_r0_measurement_1_d10	measurement	4	1	10	three	0
b4_three_r0_measurement_1_d0	measurement	4	1	0	three	0
b4_three_r0_measurement_1_d1000	measurement	4	1	1000	three	0
b4_three_r0_measurement_1_d100	measurement	4	1	100	three	0
b4_three_r0_measurement_2_d100	measurement	4	2	100	three	0
b4_three_r0_measurement_2_d0	measurement	4	2	0	three	0
b4_three_r0_measurement_2_d1000	measurement	4	2	1000	three	0
b4_three_r0_measurement_2_d10	measurement	4	2	10	three	0
b4_three_r0_measurement_3_d10	measurement	4	3	10	three	0
b4_three_r0_measurement_3_d1000	measurement	4	3	1000	three	0
b4_three_r0_measurement_3_d0	measurement	4	3	0	three	0
b4_three_r0_measurement_3_d100	measurement	4	3	100	three	0
b4_three_r0_measurement_4_d100	measurement	4	4	100	three	0
b4_three_r0_measurement_4_d10	measurement	4	4	10	three	0
b4_three_r0_measurement_4_d1000	measurement	4	4	1000	three	0
b4_three_r0_measurement_4_d0	measurement	4	4	0	three	0
b4_three_r0_measurement_5_d10	measurement	4	5	10	three	0
b4_three_r0_measurement_5_d100	measurement	4	5	100	three	0
b4_three_r0_measurement_5_d0	measurement	4	5	0	three	0
b4_three_r0_measurement_5_d1000	measurement	4	5	1000	three	0
b4_three_r0_measurement_6_d0	measurement	4	6	0	three	0
b4_three_r0_measurement_6_d100	measurement	4	6	100	three	0
b4_three_r0_measurement_6_d1000	measurement	4	6	1000	three	0
b4_three_r0_measurement_6_d10	measurement	4	6	10	three	0
b4_three_r0_measurement_7_d100	measurement	4	7	100	three	0
b4_three_r0_measurement_7_d1000	measurement	4	7	1000	three	0
b4_three_r0_measurement_7_d10	measurement	4	7	10	three	0
b4_three_r0_measurement_7_d0	measurement	4	7	0	three	0
b4_three_r0_measurement_8_d10	measurement	4	8	10	three	0
b4_three_r0_measurement_8_d0	measurement	4	8	0	three	0
b4_three_r0_measurement_8_d100	measurement	4	8	100	three	0
b4_three_r0_measurement_8_d1000	measurement	4	8	1000	three	0
b4_three_r0_measurement_9_d100	measurement	4	9	100	three	0
b4_three_r0_measurement_9_d1000	measurement	4	9	1000	three	0
b4_three_r0_measurement_9_d0	measurement	4	9	0	three	0
b4_three_r0_measurement_9_d10	measurement	4	9	10	three	0
b4_three_r0_measurement_10_d0	measurement	4	10	0	three	0
b4_three_r0_measurement_10_d1000	measurement	4	10	1000	three	0
b4_three_r0_measurement_10_d100	measurement	4	10	100	three	0
b4_three_r0_measurement_10_d10	measurement	4	10	10	three	0
