compact-run-000000	fresh-0001	distinct	replay	0	SSS	0	none
compact-run-000001	fresh-0001	colliding	replay	0	SSS	0	none
compact-run-000002	fresh-0001	distinct	replay	1	S	0	none
compact-run-000003	fresh-0001	distinct	replay	1	FSSS	0	none
compact-run-000004	fresh-0001	colliding	replay	1	S	0	none
compact-run-000005	fresh-0001	colliding	replay	1	FSSS	0	none
compact-run-000006	fresh-0001	distinct	replay	2	S	0	none
compact-run-000007	fresh-0001	distinct	replay	2	FS	0	none
compact-run-000008	fresh-0001	distinct	replay	2	FFSSS	0	none
compact-run-000009	fresh-0001	colliding	replay	2	S	0	none
compact-run-000010	fresh-0001	colliding	replay	2	FS	0	none
compact-run-000011	fresh-0001	colliding	replay	2	FFSSS	0	none
compact-run-000012	fresh-0001	distinct	replay	3	S	0	none
compact-run-000013	fresh-0001	distinct	replay	3	FS	0	none
compact-run-000014	fresh-0001	distinct	replay	3	FFS	0	none
compact-run-000015	fresh-0001	distinct	replay	3	FFFSSS	0	none
compact-run-000016	fresh-0001	colliding	replay	3	S	0	none
compact-run-000017	fresh-0001	colliding	replay	3	FS	0	none
compact-run-000018	fresh-0001	colliding	replay	3	FFS	0	none
compact-run-000019	fresh-0001	colliding	replay	3	FFFSSS	0	none
compact-run-000020	fresh-0001	distinct	concurrent	3	-	11	none
compact-run-000021	fresh-0001	distinct	concurrent	3	-	23	none
compact-run-000022	fresh-0001	colliding	concurrent	3	-	11	none
compact-run-000023	fresh-0001	colliding	concurrent	3	-	23	none
compact-run-000024	fresh-0009	distinct	replay	0	SS	0	none
compact-run-000025	fresh-0009	colliding	replay	0	SS	0	none
compact-run-000026	fresh-0009	distinct	replay	1	S	0	none
compact-run-000027	fresh-0009	distinct	replay	1	FSS	0	none
compact-run-000028	fresh-0009	colliding	replay	1	S	0	none
compact-run-000029	fresh-0009	colliding	replay	1	FSS	0	none
compact-run-000030	fresh-0009	distinct	replay	2	S	0	none
compact-run-000031	fresh-0009	distinct	replay	2	FS	0	none
compact-run-000032	fresh-0009	distinct	replay	2	FFSS	0	none
compact-run-000033	fresh-0009	colliding	replay	2	S	0	none
compact-run-000034	fresh-0009	colliding	replay	2	FS	0	none
compact-run-000035	fresh-0009	colliding	replay	2	FFSS	0	none
compact-run-000036	fresh-0009	distinct	replay	3	-	0	none
compact-run-000037	fresh-0009	colliding	replay	3	-	0	none
compact-run-000038	fresh-0009	distinct	concurrent	3	-	11	none
compact-run-000039	fresh-0009	distinct	concurrent	3	-	23	none
compact-run-000040	fresh-0009	colliding	concurrent	3	-	11	none
compact-run-000041	fresh-0009	colliding	concurrent	3	-	23	none
compact-run-000042	fresh-0021	distinct	replay	0	SS	0	none
compact-run-000043	fresh-0021	colliding	replay	0	SS	0	none
compact-run-000044	fresh-0021	distinct	replay	1	S	0	none
compact-run-000045	fresh-0021	distinct	replay	1	FSS	0	none
compact-run-000046	fresh-0021	colliding	replay	1	S	0	none
compact-run-000047	fresh-0021	colliding	replay	1	FSS	0	none
compact-run-000048	fresh-0021	distinct	replay	2	S	0	none
compact-run-000049	fresh-0021	distinct	replay	2	FS	0	none
compact-run-000050	fresh-0021	distinct	replay	2	FFSS	0	none
compact-run-000051	fresh-0021	colliding	replay	2	S	0	none
compact-run-000052	fresh-0021	colliding	replay	2	FS	0	none
compact-run-000053	fresh-0021	colliding	replay	2	FFSS	0	none
compact-run-000054	fresh-0021	distinct	replay	3	-	0	none
compact-run-000055	fresh-0021	colliding	replay	3	-	0	none
compact-run-000056	fresh-0021	distinct	concurrent	3	-	11	none
compact-run-000057	fresh-0021	distinct	concurrent	3	-	23	none
compact-run-000058	fresh-0021	colliding	concurrent	3	-	11	none
compact-run-000059	fresh-0021	colliding	concurrent	3	-	23	none
compact-run-000060	fresh-0025	distinct	replay	0	SSS	0	none
compact-run-000061	fresh-0025	colliding	replay	0	SSS	0	none
compact-run-000062	fresh-0025	distinct	replay	1	S	0	none
compact-run-000063	fresh-0025	distinct	replay	1	FSSS	0	none
compact-run-000064	fresh-0025	colliding	replay	1	S	0	none
compact-run-000065	fresh-0025	colliding	replay	1	FSSS	0	none
compact-run-000066	fresh-0025	distinct	replay	2	S	0	none
compact-run-000067	fresh-0025	distinct	replay	2	FS	0	none
compact-run-000068	fresh-0025	distinct	replay	2	FFSSS	0	none
compact-run-000069	fresh-0025	colliding	replay	2	S	0	none
compact-run-000070	fresh-0025	colliding	replay	2	FS	0	none
compact-run-000071	fresh-0025	colliding	replay	2	FFSSS	0	none
compact-run-000072	fresh-0025	distinct	replay	3	-	0	none
compact-run-000073	fresh-0025	colliding	replay	3	-	0	none
compact-run-000074	fresh-0025	distinct	concurrent	3	-	11	none
compact-run-000075	fresh-0025	distinct	concurrent	3	-	23	none
compact-run-000076	fresh-0025	colliding	concurrent	3	-	11	none
compact-run-000077	fresh-0025	colliding	concurrent	3	-	23	none
compact-run-000078	fresh-0029	distinct	replay	0	SSSS	0	none
compact-run-000079	fresh-0029	colliding	replay	0	SSSS	0	none
compact-run-000080	fresh-0029	distinct	replay	1	SSS	0	none
compact-run-000081	fresh-0029	distinct	replay	1	SSFSS	0	none
compact-run-000082	fresh-0029	distinct	replay	1	SFSSS	0	none
compact-run-000083	fresh-0029	distinct	replay	1	FSSSS	0	none
compact-run-000084	fresh-0029	colliding	replay	1	SSS	0	none
compact-run-000085	fresh-0029	colliding	replay	1	SSFSS	0	none
compact-run-000086	fresh-0029	colliding	replay	1	SFSSS	0	none
