f1-0000	warmup	1	-2	8	1	0	three	normal
f1-0001	warmup	1	-2	8	1	0	two	normal
f1-0002	warmup	1	-2	8	1	0	original	normal
f1-0003	warmup	1	-2	256	0	4	original	normal
f1-0004	warmup	1	-2	256	0	4	two	normal
f1-0005	warmup	1	-2	256	0	4	three	normal
f1-0006	warmup	1	-2	1	0	1	three	normal
f1-0007	warmup	1	-2	1	0	1	original	normal
f1-0008	warmup	1	-2	1	0	1	two	normal
f1-0009	warmup	1	-2	1	2	3	three	normal
f1-0010	warmup	1	-2	1	2	3	two	normal
f1-0011	warmup	1	-2	1	2	3	original	normal
f1-0012	warmup	1	-2	8	2	2	three	normal
f1-0013	warmup	1	-2	8	2	2	two	normal
f1-0014	warmup	1	-2	8	2	2	original	normal
f1-0015	warmup	1	-2	256	0	1	three	normal
f1-0016	warmup	1	-2	256	0	1	two	normal
f1-0017	warmup	1	-2	256	0	1	original	normal
f1-0018	warmup	1	-2	8	0	4	two	normal
f1-0019	warmup	1	-2	8	0	4	original	normal
f1-0020	warmup	1	-2	8	0	4	three	normal
f1-0021	warmup	1	-2	256	1	5	original	normal
f1-0022	warmup	1	-2	256	1	5	two	normal
f1-0023	warmup	1	-2	256	1	5	three	normal
f1-0024	warmup	1	-2	64	2	0	three	normal
f1-0025	warmup	1	-2	64	2	0	two	normal
f1-0026	warmup	1	-2	64	2	0	original	normal
f1-0027	warmup	1	-2	64	1	5	three	normal
f1-0028	warmup	1	-2	64	1	5	original	normal
f1-0029	warmup	1	-2	64	1	5	two	normal
f1-0030	warmup	1	-2	256	2	0	three	normal
f1-0031	warmup	1	-2	256	2	0	two	normal
f1-0032	warmup	1	-2	256	2	0	original	normal
f1-0033	warmup	1	-2	64	0	4	three	normal
f1-0034	warmup	1	-2	64	0	4	two	normal
f1-0035	warmup	1	-2	64	0	4	original	normal
f1-0036	warmup	1	-2	64	2	2	two	normal
f1-0037	warmup	1	-2	64	2	2	original	normal
f1-0038	warmup	1	-2	64	2	2	three	normal
f1-0039	warmup	1	-2	64	1	1	original	normal
f1-0040	warmup	1	-2	64	1	1	three	normal
f1-0041	warmup	1	-2	64	1	1	two	normal
f1-0042	warmup	1	-2	1	1	5	two	normal
f1-0043	warmup	1	-2	1	1	5	three	normal
f1-0044	warmup	1	-2	1	1	5	original	normal
f1-0045	warmup	1	-2	64	1	2	two	normal
f1-0046	warmup	1	-2	64	1	2	three	normal
f1-0047	warmup	1	-2	64	1	2	original	normal
f1-0048	warmup	1	-2	256	2	6	original	normal
f1-0049	warmup	1	-2	256	2	6	two	normal
f1-0050	warmup	1	-2	256	2	6	three	normal
f1-0051	warmup	1	-2	1	1	0	three	normal
f1-0052	warmup	1	-2	1	1	0	original	normal
f1-0053	warmup	1	-2	1	1	0	two	normal
f1-0054	warmup	1	-2	8	2	6	three	normal
f1-0055	warmup	1	-2	8	2	6	two	normal
f1-0056	warmup	1	-2	8	2	6	original	normal
f1-0057	warmup	1	-2	256	2	2	two	normal
f1-0058	warmup	1	-2	256	2	2	three	normal
f1-0059	warmup	1	-2	256	2	2	original	normal
f1-0060	warmup	1	-2	8	2	0	three	normal
f1-0061	warmup	1	-2	8	2	0	original	normal
f1-0062	warmup	1	-2	8	2	0	two	normal
f1-0063	warmup	1	-2	64	2	3	original	normal
f1-0064	warmup	1	-2	64	2	3	two	normal
f1-0065	warmup	1	-2	64	2	3	three	normal
f1-0066	warmup	1	-2	8	1	1	original	normal
f1-0067	warmup	1	-2	8	1	1	two	normal
f1-0068	warmup	1	-2	8	1	1	three	normal
f1-0069	warmup	1	-2	1	0	4	original	normal
f1-0070	warmup	1	-2	1	0	4	two	normal
f1-0071	warmup	1	-2	1	0	4	three	normal
f1-0072	warmup	1	-2	256	1	1	three	normal
f1-0073	warmup	1	-2	256	1	1	original	normal
f1-0074	warmup	1	-2	256	1	1	two	normal
f1-0075	warmup	1	-2	64	2	6	three	normal
f1-0076	warmup	1	-2	64	2	6	original	normal
f1-0077	warmup	1	-2	64	2	6	two	normal
f1-0078	warmup	1	-2	8	1	5	two	normal
f1-0079	warmup	1	-2	8	1	5	original	normal
f1-0080	warmup	1	-2	8	1	5	three	normal
f1-0081	warmup	1	-2	64	1	0	three	normal
f1-0082	warmup	1	-2	64	1	0	two	normal
f1-0083	warmup	1	-2	64	1	0	original	normal
f1-0084	warmup	1	-2	8	2	3	three	normal
f1-0085	warmup	1	-2	8	2	3	two	normal
f1-0086	warmup	1	-2	8	2	3	original	normal
f1-0087	warmup	1	-2	256	1	2	two	normal
f1-0088	warmup	1	-2	256	1	2	three	normal
f1-0089	warmup	1	-2	256	1	2	original	normal
f1-0090	warmup	1	-2	8	0	1	original	normal
f1-0091	warmup	1	-2	8	0	1	three	normal
f1-0092	warmup	1	-2	8	0	1	two	normal
f1-0093	warmup	1	-2	1	2	2	two	normal
f1-0094	warmup	1	-2	1	2	2	three	normal
f1-0095	warmup	1	-2	1	2	2	original	normal
f1-0096	warmup	1	-2	256	0	0	three	normal
f1-0097	warmup	1	-2	256	0	0	original	normal
f1-0098	warmup	1	-2	256	0	0	two	normal
f1-0099	warmup	1	-2	8	0	0	original	normal
f1-0100	warmup	1	-2	8	0	0	two	normal
f1-0101	warmup	1	-2	8	0	0	three	normal
f1-0102	warmup	1	-2	1	1	2	two	normal
f1-0103	warmup	1	-2	1	1	2	three	normal
f1-0104	warmup	1	-2	1	1	2	original	normal
f1-0105	warmup	1	-2	1	0	0	three	normal
f1-0106	warmup	1	-2	1	0	0	two	normal
f1-0107	warmup	1	-2	1	0	0	original	normal
f1-0108	warmup	1	-2	256	2	3	original	normal
f1-0109	warmup	1	-2	256	2	3	two	normal
f1-0110	warmup	1	-2	256	2	3	three	normal
f1-0111	warmup	1	-2	256	1	0	original	normal
f1-0112	warmup	1	-2	256	1	0	two	normal
f1-0113	warmup	1	-2	256	1	0	three	normal
f1-0114	warmup	1	-2	64	0	0	three	normal
f1-0115	warmup	1	-2	64	0	0	two	normal
f1-0116	warmup	1	-2	64	0	0	original	normal
f1-0117	warmup	1	-2	64	0	1	three	normal
f1-0118	warmup	1	-2	64	0	1	original	normal
f1-0119	warmup	1	-2	64	0	1	two	normal
f1-0120	warmup	1	-2	1	2	6	three	normal
f1-0121	warmup	1	-2	1	2	6	original	normal
f1-0122	warmup	1	-2	1	2	6	two	normal
f1-0123	warmup	1	-2	1	1	1	three	normal
f1-0124	warmup	1	-2	1	1	1	two	normal
f1-0125	warmup	1	-2	1	1	1	original	normal
f1-0126	warmup	1	-2	8	1	2	three	normal
f1-0127	warmup	1	-2	8	1	2	original	normal
f1-0128	warmup	1	-2	8	1	2	two	normal
