family/b0/distinct/hybrid/path_00000	selected-family-k1	hybrid	distinct	0	-	SSSS	0
family/b0/distinct/fixed/path_00000	selected-family-k1	fixed	distinct	0	0,1,2,3	SSSS	0
family/b0/distinct/look_fast/path_00000	selected-family-k1	look_fast	distinct	0	-	SSSS	0
family/b0/distinct/look_protected/path_00000	selected-family-k1	look_protected	distinct	0	-	SSSS	0
family/b0/distinct/cached/path_00000	selected-family-k1	cached	distinct	0	-	MMMM	0
family/b0/colliding/hybrid/path_00000	selected-family-k1	hybrid	colliding	0	-	SSSS	0
family/b0/colliding/fixed/path_00000	selected-family-k1	fixed	colliding	0	0,1,2,3	SSSS	0
family/b0/colliding/look_fast/path_00000	selected-family-k1	look_fast	colliding	0	-	SSSS	0
family/b0/colliding/look_protected/path_00000	selected-family-k1	look_protected	colliding	0	-	SSSS	0
family/b0/colliding/cached/path_00000	selected-family-k1	cached	colliding	0	-	MMMM	0
family/b1/distinct/hybrid/path_00000	selected-family-k1	hybrid	distinct	1	-	SSS	0
family/b1/distinct/hybrid/path_00001	selected-family-k1	hybrid	distinct	1	-	SSFS	0
family/b1/distinct/hybrid/path_00002	selected-family-k1	hybrid	distinct	1	-	SFSSS	0
family/b1/distinct/hybrid/path_00003	selected-family-k1	hybrid	distinct	1	-	FSSSS	0
family/b1/distinct/fixed/path_00000	selected-family-k1	fixed	distinct	1	0,2,1,3	SSS	0
family/b1/distinct/fixed/path_00001	selected-family-k1	fixed	distinct	1	0,2,1,3	SSFS	0
family/b1/distinct/fixed/path_00002	selected-family-k1	fixed	distinct	1	0,2,1,3	SFSSS	0
family/b1/distinct/fixed/path_00003	selected-family-k1	fixed	distinct	1	0,2,1,3	FSSSS	0
family/b1/distinct/look_fast/path_00000	selected-family-k1	look_fast	distinct	1	-	SSS	0
family/b1/distinct/look_fast/path_00001	selected-family-k1	look_fast	distinct	1	-	SSFS	0
family/b1/distinct/look_fast/path_00002	selected-family-k1	look_fast	distinct	1	-	SFSSS	0
family/b1/distinct/look_fast/path_00003	selected-family-k1	look_fast	distinct	1	-	FSSSS	0
family/b1/distinct/look_protected/path_00000	selected-family-k1	look_protected	distinct	1	-	SSS	0
family/b1/distinct/look_protected/path_00001	selected-family-k1	look_protected	distinct	1	-	SSFS	0
family/b1/distinct/look_protected/path_00002	selected-family-k1	look_protected	distinct	1	-	SFSSS	0
family/b1/distinct/look_protected/path_00003	selected-family-k1	look_protected	distinct	1	-	FSSSS	0
